iter	Passed	Remaining
0	149	149119
1	153	76566
2	158	52607
3	160	40059
4	163	32464
5	165	27367
6	166	23623
7	167	20800
8	168	18605
9	170	16847
10	171	15389
11	172	14176
12	173	13155
13	174	12275
14	175	11512
15	176	10849
16	177	10264
17	178	9740
18	179	9264
19	180	8836
20	181	8447
21	182	8094
22	182	7766
23	183	7465
24	184	7188
25	185	6932
26	185	6695
27	186	6474
28	192	6432
29	193	6245
30	193	6059
31	194	5884
32	195	5719
33	195	5563
34	196	5415
35	197	5276
36	197	5145
37	198	5021
38	198	4902
39	199	4789
40	200	4682
41	200	4579
42	201	4482
43	202	4389
44	202	4300
45	203	4218
46	204	4137
47	204	4060
48	205	3985
49	206	3914
50	206	3848
51	207	3784
52	208	3720
53	208	3658
54	209	3599
55	210	3542
56	210	3486
57	211	3433
58	212	3381
59	212	3331
60	213	3283
61	213	3235
62	214	3190
63	215	3146
64	215	3103
65	216	3062
66	217	3022
67	217	2983
68	218	2945
69	218	2908
70	219	2871
71	220	2836
72	220	2802
73	221	2769
74	222	2739
75	222	2708
76	223	2677
77	223	2647
78	224	2617
79	225	2589
80	225	2561
81	226	2534
82	226	2504
83	227	2478
84	227	2453
85	228	2428
86	229	2403
87	229	2380
88	230	2357
89	230	2334
90	231	2312
91	232	2291
92	232	2270
93	233	2250
94	234	2229
95	234	2209
96	235	2190
97	235	2170
98	236	2152
99	237	2135
100	237	2117
101	238	2099
102	239	2082
103	239	2065
104	240	2048
105	240	2031
106	241	2015
107	242	1999
108	242	1983
109	243	1968
110	243	1953
111	244	1938
112	245	1924
113	245	1910
114	246	1896
115	247	1882
116	247	1868
117	248	1855
118	248	1841
119	249	1829
120	250	1816
121	250	1803
122	251	1792
123	252	1782
124	252	1770
125	253	1758
126	254	1746
127	254	1735
128	255	1724
129	255	1713
130	256	1702
131	257	1692
132	257	1681
133	258	1671
134	259	1661
135	259	1651
136	260	1641
137	261	1631
138	261	1622
139	262	1613
140	263	1603
141	263	1593
142	264	1584
143	265	1575
144	265	1566
145	266	1558
146	267	1551
147	268	1542
